1772580516.197845 client started (25467): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1772580516.197857 on Linux 6.17.9-76061709-generic #202511241048~1764607909~24.04~df6b2b6 SMP PREEMPT_DYNAMIC Mon D
1772580516.198711 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198713 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198715 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198717 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198719 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198720 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198722 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198726 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198727 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198729 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198731 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198733 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198735 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198736 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198738 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198740 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198742 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198744 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198745 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198747 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198749 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198751 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198752 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198754 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198756 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198763 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198765 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198767 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198768 sending message 112 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198770 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198772 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198774 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198775 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198777 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198779 sending message 112 to peer 0x7aa63e2a89d0 (21 bytes)
1772580516.198781 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198782 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198784 sending message 112 to peer 0x7aa63e2a89d0 (6 bytes)
1772580516.198786 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198788 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198790 sending message 112 to peer 0x7aa63e2a89d0 (15 bytes)
1772580516.198791 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198793 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198795 sending message 112 to peer 0x7aa63e2a89d0 (70 bytes)
1772580516.198797 sending message 112 to peer 0x7aa63e2a89d0 (69 bytes)
1772580516.198799 sending message 112 to peer 0x7aa63e2a89d0 (34 bytes)
1772580516.198800 sending message 112 to peer 0x7aa63e2a89d0 (34 bytes)
1772580516.198802 sending message 112 to peer 0x7aa63e2a89d0 (70 bytes)
1772580516.198804 sending message 112 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198806 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198808 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198810 sending message 112 to peer 0x7aa63e2a89d0 (15 bytes)
1772580516.198811 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198813 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198815 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198817 sending message 112 to peer 0x7aa63e2a89d0 (17 bytes)
1772580516.198818 sending message 112 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198820 sending message 112 to peer 0x7aa63e2a89d0 (13 bytes)
1772580516.198822 sending message 112 to peer 0x7aa63e2a89d0 (32 bytes)
1772580516.198824 sending message 112 to peer 0x7aa63e2a89d0 (5 bytes)
1772580516.198826 sending message 112 to peer 0x7aa63e2a89d0 (9 bytes)
1772580516.198827 sending message 112 to peer 0x7aa63e2a89d0 (15 bytes)
1772580516.198829 sending message 112 to peer 0x7aa63e2a89d0 (5 bytes)
1772580516.198832 sending message 104 to peer 0x7aa63e2a89d0 (0 bytes)
1772580516.198836 sending message 110 to peer 0x7aa63e2a89d0 (0 bytes)
1772580516.198838 sending message 107 to peer 0x7aa63e2a89d0 (4 bytes)
1772580516.198840 sending message 105 to peer 0x7aa63e2a89d0 (16 bytes)
1772580516.198842 sending message 105 to peer 0x7aa63e2a89d0 (41 bytes)
1772580516.198844 sending message 105 to peer 0x7aa63e2a89d0 (25 bytes)
1772580516.198846 sending message 105 to peer 0x7aa63e2a89d0 (22 bytes)
1772580516.198848 sending message 105 to peer 0x7aa63e2a89d0 (29 bytes)
1772580516.198849 sending message 105 to peer 0x7aa63e2a89d0 (27 bytes)
1772580516.198851 sending message 105 to peer 0x7aa63e2a89d0 (46 bytes)
1772580516.198853 sending message 105 to peer 0x7aa63e2a89d0 (28 bytes)
1772580516.198855 sending message 105 to peer 0x7aa63e2a89d0 (16 bytes)
1772580516.198857 sending message 105 to peer 0x7aa63e2a89d0 (35 bytes)
1772580516.198859 sending message 105 to peer 0x7aa63e2a89d0 (22 bytes)
1772580516.198860 sending message 105 to peer 0x7aa63e2a89d0 (54 bytes)
1772580516.198862 sending message 105 to peer 0x7aa63e2a89d0 (20 bytes)
1772580516.198864 sending message 105 to peer 0x7aa63e2a89d0 (26 bytes)
1772580516.198866 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198868 sending message 105 to peer 0x7aa63e2a89d0 (152 bytes)
1772580516.198870 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198872 sending message 105 to peer 0x7aa63e2a89d0 (920 bytes)
1772580516.198874 sending message 105 to peer 0x7aa63e2a89d0 (31 bytes)
1772580516.198876 sending message 105 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198877 sending message 105 to peer 0x7aa63e2a89d0 (17 bytes)
1772580516.198879 sending message 105 to peer 0x7aa63e2a89d0 (27 bytes)
1772580516.198881 sending message 105 to peer 0x7aa63e2a89d0 (41 bytes)
1772580516.198883 sending message 105 to peer 0x7aa63e2a89d0 (21 bytes)
1772580516.198885 sending message 105 to peer 0x7aa63e2a89d0 (37 bytes)
1772580516.198887 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198888 sending message 105 to peer 0x7aa63e2a89d0 (25 bytes)
1772580516.198890 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198892 sending message 105 to peer 0x7aa63e2a89d0 (125 bytes)
1772580516.198894 sending message 105 to peer 0x7aa63e2a89d0 (51 bytes)
1772580516.198896 sending message 105 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198898 sending message 105 to peer 0x7aa63e2a89d0 (45 bytes)
1772580516.198900 sending message 105 to peer 0x7aa63e2a89d0 (32 bytes)
1772580516.198901 sending message 105 to peer 0x7aa63e2a89d0 (11 bytes)
1772580516.198907 sending message 105 to peer 0x7aa63e2a89d0 (8 bytes)
1772580516.198909 sending message 105 to peer 0x7aa63e2a89d0 (32 bytes)
1772580516.198911 sending message 105 to peer 0x7aa63e2a89d0 (1817 bytes)
1772580516.198913 sending message 105 to peer 0x7aa63e2a89d0 (12 bytes)
1772580516.198915 sending message 105 to peer 0x7aa63e2a89d0 (42 bytes)
1772580516.198917 sending message 105 to peer 0x7aa63e2a89d0 (274 bytes)
1772580516.198922 sending message 105 to peer 0x7aa63e2a89d0 (61 bytes)
1772580516.198924 sending message 105 to peer 0x7aa63e2a89d0 (10 bytes)
1772580516.198926 sending message 105 to peer 0x7aa63e2a89d0 (24 bytes)
1772580516.198928 sending message 105 to peer 0x7aa63e2a89d0 (86 bytes)
1772580516.198930 sending message 105 to peer 0x7aa63e2a89d0 (17 bytes)
1772580516.198931 sending message 105 to peer 0x7aa63e2a89d0 (34 bytes)
1772580516.198933 sending message 105 to peer 0x7aa63e2a89d0 (28 bytes)
1772580516.198935 sending message 105 to peer 0x7aa63e2a89d0 (37 bytes)
1772580516.198937 sending message 105 to peer 0x7aa63e2a89d0 (17 bytes)
1772580516.198939 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198940 sending message 105 to peer 0x7aa63e2a89d0 (50 bytes)
1772580516.198942 sending message 105 to peer 0x7aa63e2a89d0 (66 bytes)
1772580516.198944 sending message 105 to peer 0x7aa63e2a89d0 (29 bytes)
1772580516.198946 sending message 105 to peer 0x7aa63e2a89d0 (25 bytes)
1772580516.198948 sending message 105 to peer 0x7aa63e2a89d0 (24 bytes)
1772580516.198952 sending message 105 to peer 0x7aa63e2a89d0 (17 bytes)
1772580516.198953 sending message 105 to peer 0x7aa63e2a89d0 (59 bytes)
1772580516.198957 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.198959 sending message 105 to peer 0x7aa63e2a89d0 (34 bytes)
1772580516.198961 sending message 105 to peer 0x7aa63e2a89d0 (57 bytes)
1772580516.198963 sending message 105 to peer 0x7aa63e2a89d0 (49 bytes)
1772580516.198964 sending message 105 to peer 0x7aa63e2a89d0 (28 bytes)
1772580516.198966 sending message 105 to peer 0x7aa63e2a89d0 (88 bytes)
1772580516.198968 sending message 105 to peer 0x7aa63e2a89d0 (42 bytes)
1772580516.198970 sending message 105 to peer 0x7aa63e2a89d0 (48 bytes)
1772580516.198972 sending message 105 to peer 0x7aa63e2a89d0 (26 bytes)
1772580516.198974 sending message 105 to peer 0x7aa63e2a89d0 (36 bytes)
1772580516.198976 sending message 105 to peer 0x7aa63e2a89d0 (41 bytes)
1772580516.198978 sending message 105 to peer 0x7aa63e2a89d0 (32 bytes)
1772580516.198980 sending message 105 to peer 0x7aa63e2a89d0 (60 bytes)
1772580516.198981 sending message 105 to peer 0x7aa63e2a89d0 (67 bytes)
1772580516.198983 sending message 105 to peer 0x7aa63e2a89d0 (37 bytes)
1772580516.198985 sending message 105 to peer 0x7aa63e2a89d0 (41 bytes)
1772580516.198987 sending message 105 to peer 0x7aa63e2a89d0 (49 bytes)
1772580516.198989 sending message 105 to peer 0x7aa63e2a89d0 (71 bytes)
1772580516.198991 sending message 105 to peer 0x7aa63e2a89d0 (53 bytes)
1772580516.198992 sending message 105 to peer 0x7aa63e2a89d0 (36 bytes)
1772580516.198994 sending message 105 to peer 0x7aa63e2a89d0 (64 bytes)
1772580516.198996 sending message 105 to peer 0x7aa63e2a89d0 (42 bytes)
1772580516.198998 sending message 105 to peer 0x7aa63e2a89d0 (31 bytes)
1772580516.199000 sending message 105 to peer 0x7aa63e2a89d0 (19 bytes)
1772580516.199002 sending message 105 to peer 0x7aa63e2a89d0 (42 bytes)
1772580516.199004 sending message 105 to peer 0x7aa63e2a89d0 (15 bytes)
1772580516.199006 sending message 105 to peer 0x7aa63e2a89d0 (24 bytes)
